Province,Year,Measure,Kakwani,Gini_expenditure,Concentration,Total_net_revenue
Ontario,2019,gross_cost,-0.09850301049358157,0.31156158506725395,0.2130585745736724,1651357559.330764
Ontario,2019,net_single_base,0.10060997673820693,0.31156158506725395,0.4121715618054609,763824297.330764
Ontario,2020,direct_tax,-0.09671372637344056,0.31500277997564985,0.2182890536022093,1436608809.7474394
Ontario,2020,gross_cost,-0.09671372637344056,0.31500277997564985,0.2182890536022093,2552505364.4200315
Ontario,2020,net_single_base,0.08706406464678595,0.31500277997564985,0.4020668446224358,1246177236.4200313
Ontario,2021,direct_tax,-0.09454489745947747,0.3225932782697609,0.22804838081028345,1571835214.781928
Ontario,2021,gross_cost,-0.09454489745947736,0.3225932782697609,0.22804838081028356,2579919590.0
Ontario,2021,net_single_base,0.2942199706946532,0.3225932782697609,0.6168132489644141,816876589.9999999
Ontario,2022,direct_tax,-0.10857027024728239,0.3355929984190047,0.2270227281717223,1908069848.912457
Ontario,2022,gross_cost,-0.10857027024728239,0.3355929984190047,0.2270227281717223,3464226816.0000005
Ontario,2022,net_single_base,0.2046013624869194,0.3355929984190047,0.5401943609059241,1228661760.0
Ontario,2023,direct_tax,-0.12203775856627996,0.3417764873849707,0.21973872881869072,2817220851.7902117
Ontario,2023,gross_cost,-0.12203775856627996,0.3417764873849707,0.21973872881869072,4586225005.3004875
Ontario,2023,net_single_base,0.19200603731058963,0.3417764873849707,0.5337825246955603,1574976597.3004875
Ontario,2024,direct_tax,-0.12290964136405402,0.3364532673820049,0.21354362601795085,3592962765.193733
Ontario,2024,gross_cost,-0.12290964136405391,0.3364532673820049,0.21354362601795096,5508644878.0
Ontario,2024,net_single_base,0.17351568725867028,0.3364532673820049,0.5099689546406752,1958770158.0
Ontario,2025,direct_tax,,0.3364532673820049,,0.0
Ontario,2025,gross_cost,,0.3364532673820049,,0.0
Ontario,2025,net_single_base,,0.3364532673820049,,0.0
Saskatchewan,2019,direct_tax,-0.0760657798126021,0.28260188979995093,0.20653610998734884,105065976.47318412
Saskatchewan,2019,gross_cost,-0.0760657798126021,0.28260188979995093,0.20653610998734884,224280515.16831577
Saskatchewan,2019,net_single_base,0.2685411747543762,0.28260188979995093,0.5511430645543272,78762270.16831577
Saskatchewan,2020,direct_tax,-0.09001024886567233,0.27539648496716396,0.18538623610149163,163043252.6785953
Saskatchewan,2020,gross_cost,-0.09001024886567233,0.27539648496716396,0.18538623610149163,328740388.3393946
Saskatchewan,2020,net_single_base,0.15638924112427977,0.27539648496716396,0.4317857260914437,134910223.33939463
Saskatchewan,2021,direct_tax,-0.1064259885046942,0.25795880208328936,0.15153281357859516,173939283.32609683
Saskatchewan,2021,gross_cost,-0.1064259885046942,0.25795880208328936,0.15153281357859516,344924639.99999994
Saskatchewan,2021,net_single_base,0.2211473401876478,0.25795880208328936,0.4791061422709372,105393639.99999994
Saskatchewan,2022,direct_tax,-0.0905703985060009,0.2597838491287756,0.1692134506227747,214751575.76903754
Saskatchewan,2022,gross_cost,-0.0905703985060009,0.2597838491287756,0.1692134506227747,357776555.99999994
Saskatchewan,2022,net_single_base,0.3887019145287841,0.2597838491287756,0.6484857636575597,89687855.99999997
Saskatchewan,2023,direct_tax,-0.07473656851462362,0.2587365082678632,0.18399993975323958,316199023.79352206
Saskatchewan,2023,gross_cost,-0.07473656851462374,0.2587365082678632,0.18399993975323947,506527021.65878904
Saskatchewan,2023,net_single_base,0.27354627951366206,0.2587365082678632,0.5322827877815253,169641421.65878904
Saskatchewan,2024,direct_tax,-0.07483786783126978,0.25756410571830335,0.18272623788703357,402771195.63871574
Saskatchewan,2024,gross_cost,-0.07483786783126978,0.25756410571830335,0.18272623788703357,585114024.0000001
Saskatchewan,2024,net_single_base,0.2501247128244777,0.25756410571830335,0.507688818542781,204486216.00000012
Saskatchewan,2025,direct_tax,,0.25756410571830335,,0.0
Saskatchewan,2025,gross_cost,,0.25756410571830335,,0.0
Saskatchewan,2025,net_single_base,,0.25756410571830335,,0.0
